22-Feb-2022 00:50:08.249 INFO [main] org.apache.catalina.core.ApplicationContext.log ContextListener: contextInitialized()
22-Feb-2022 00:50:08.249 INFO [main] org.apache.catalina.core.ApplicationContext.log SessionListener: contextInitialized()
22-Feb-2022 00:50:08.251 INFO [main] org.apache.catalina.core.ApplicationContext.log ContextListener: attributeAdded('StockTicker', 'async.Stockticker@6eabe718')
22-Feb-2022 00:50:08.378 INFO [main] org.apache.catalina.core.ApplicationContext.log SessionListener: contextDestroyed()
22-Feb-2022 00:50:08.378 INFO [main] org.apache.catalina.core.ApplicationContext.log ContextListener: contextDestroyed()
22-Feb-2022 00:50:12.809 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 00:50:15.013 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 00:50:15.013 INFO [http-nio-8080-exec-36] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:01:05.490 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 01:01:05.761 INFO [http-nio-8080-exec-46] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 01:01:09.829 INFO [http-nio-8080-exec-53] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:01:09.830 INFO [http-nio-8080-exec-53] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:01:12.086 INFO [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:01:12.090 INFO [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:10:20.961 INFO [http-nio-8080-exec-56] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 01:10:21.221 INFO [http-nio-8080-exec-56] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 01:10:37.478 INFO [http-nio-8080-exec-63] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:10:37.478 INFO [http-nio-8080-exec-63] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:10:38.557 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:10:38.559 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:10:40.894 INFO [http-nio-8080-exec-60] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:10:40.896 INFO [http-nio-8080-exec-60] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 01:10:49.681 INFO [http-nio-8080-exec-58] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 01:10:49.681 INFO [http-nio-8080-exec-58] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 10:06:00.036 INFO [http-nio-8080-exec-68] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 10:06:00.315 INFO [http-nio-8080-exec-68] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 10:27:20.842 INFO [http-nio-8080-exec-76] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 10:27:21.098 INFO [http-nio-8080-exec-76] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:25:07.824 INFO [http-nio-8080-exec-88] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:25:08.340 INFO [http-nio-8080-exec-88] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:26:17.628 INFO [http-nio-8080-exec-96] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:26:18.063 INFO [http-nio-8080-exec-96] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:26:37.969 INFO [http-nio-8080-exec-98] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:26:38.419 INFO [http-nio-8080-exec-98] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:26:47.495 INFO [http-nio-8080-exec-92] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:26:47.508 INFO [http-nio-8080-exec-92] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:26:54.047 INFO [http-nio-8080-exec-95] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:26:54.055 INFO [http-nio-8080-exec-95] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:28:13.104 INFO [main] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:28:13.787 INFO [main] org.apache.catalina.core.ApplicationContext.log ContextListener: contextInitialized()
22-Feb-2022 13:28:13.787 INFO [main] org.apache.catalina.core.ApplicationContext.log SessionListener: contextInitialized()
22-Feb-2022 13:28:13.788 INFO [main] org.apache.catalina.core.ApplicationContext.log ContextListener: attributeAdded('StockTicker', 'async.Stockticker@1766b7')
22-Feb-2022 13:28:17.437 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:28:17.955 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:28:21.661 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:28:21.676 INFO [http-nio-8080-exec-2] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:28:51.014 INFO [http-nio-8080-exec-8] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:28:51.536 INFO [http-nio-8080-exec-8] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:28:53.538 INFO [http-nio-8080-exec-9] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:28:53.552 INFO [http-nio-8080-exec-9] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:28:56.493 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:28:56.852 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:29:16.286 INFO [http-nio-8080-exec-7] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:29:16.789 INFO [http-nio-8080-exec-7] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:29:19.168 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:29:19.180 INFO [http-nio-8080-exec-14] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:29:27.269 INFO [http-nio-8080-exec-3] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:29:27.374 INFO [http-nio-8080-exec-3] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:29:29.049 INFO [http-nio-8080-exec-12] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:29:29.123 INFO [http-nio-8080-exec-12] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:31:54.702 INFO [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:31:55.216 INFO [http-nio-8080-exec-18] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
22-Feb-2022 13:32:03.212 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:32:03.225 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:32:10.266 INFO [http-nio-8080-exec-25] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:32:10.381 INFO [http-nio-8080-exec-25] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:32:31.057 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Destruyendo la aplicacion
22-Feb-2022 13:32:31.534 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Inicializando la aplicacion
